pt,en,es,fr,it,gl,ro
intempestivo,untimely,prematuro,premature,prematuro,intempestivo,intempestiv
maledicencia,backbiting,murmuracion,medisance,maldicenza,murmurar,murmurarea
extemporaneo,extemporaneous,extemporaneo,improvise,estemporaneo,extemporaneo,extemporaneu
fraternidade,fraternity,fraternidad,fraternite,fraternita,fraternidade,fraternitate
intolerancia,intolerance,intolerancia,intolerance,intolleranza,intolerancia,intoleranta
resplandecer,shine,brillar,briller,splendore,brillo,stralucire
perseverante,persevering,perseverante,perseverant,perseverante,perseverante,perseverent
misericordia,mercy,merced,misericorde,misericordia,misericordia,mila
estabilidade,stability,estabilidad,la stabilite,stabilita,estabilidade,stabilitate
mediocridade,mediocrity,mediocridad,mediocrite,mediocrita,mediocridade,mediocritate
persistencia,persistence,persistencia,persistance,persistenza,persistencia,persistenta
coexistencia,coexistence,coexistencia,coexistence,coesistenza,convivencia,coexistenta
maquiavelico,machiavellian,maquiavelico,machiavelique,machiavellico,maquiavelico,machiavelic
circunspecto,circumspect,circunspecto,circonspect,circospetto,circunspecto,circumspect
preeminencia,pre-eminence,preeminencia,preeminence,preminenza,preeminencia,preeminenta
aquiescencia,acquiescence,aquiescencia,consentement,acquiescenza,aquiescencia,incuviintare
hermeneutica,hermeneutics,hermeneutica,hermeneutiques,ermeneutica,hermeneutica,hermeneutica
protagonista,protagonist,protagonista,protagoniste,protagonista,protagonista,protagonist
complementar,additional,adicional,supplementaire,aggiuntivo,adicional,aditional
parcialmente,partially,parcialmente,partiellement,parzialmente,parcialmente,partial
proeminencia,prominence,prominencia,importance,risalto,protagonismo,proeminenta
introvertido,introvert,introvertido,introverti,introverso,introvertida,introvertit
consolidacao,consolidation,consolidacion,consolidation,consolidamento,consolidacion,consolidare
oportunidade,opportunity,oportunidad,opportunite,opportunita,oportunidade,oportunitate
constituicao,constitution,constitucion,constitution,costituzione,constitucion,constitutie
destinatario,recipient,recipiente,destinataire,destinatario,recipiente,destinatar
escarnecedor,mocker,burlador,moqueur,beffardo,burlador,batjocoritor
deslumbrante,gorgeous,esplendido,magnifique,bellissimo,fermoso,superba
estigmatizar,stigmatize,estigmatizar,stigmatiser,stigmatizzare,estigmatizar,stigmatiza
consistencia,consistency,consistencia,coherence,consistenza,consistencia,consistenta
parcialidade,partiality,parcialidad,partialite,parzialita,parcialidade,partinire
entendimento,understanding,comprension,comprehension,comprensione,comprension,intelegere
interessante,interesting,interesante,interessant,interessante,interesante,interesant
caracterizar,characterize,caracterizar,caracteriser,caratterizzare,caracterizar,caracteriza
incircunciso,uncircumcised,incircunciso,incirconcis,incirconciso,incircunciso,necircumcis
procedimento,procedure,procedimiento,procedure,procedura,procedemento,procedura
generosidade,generosity,generosidad,generosite,generosita,xenerosidade,generozitate
condicionado,conditioning,acondicionamiento,conditionnement,condizionata,condicionamento,conditionare
circuncidado,circumcised,circunciso,circoncis,circonciso,circuncidado,circumcis
enclausurado,cloistered,conventual,cloitre,clausura,claustral,claustrala
superestimar,overestimate,sobreestimar,surestimer,sopravvalutare,sobreestimar,supraestima
fragmentacao,fragmentation,fragmentacion,fragmentation,frammentazione,fragmentacion,fragmentare
literalmente,literally,literalmente,litteralement,letteralmente,literalmente,literalmente
desenvoltura,resourcefulness,inventiva,ingeniosite,intraprendenza,ingenio,inventivitate
proficiencia,proficiency,competencia,competence,competenza,competencia,experienta
prosperidade,prosperity,prosperidad,prosperite,prosperita,prosperidade,prosperitate
depreciativo,derogatory,despectivo,desobligeant,dispregiativo,despectivo,peiorativ
legitimidade,legitimacy,legitimidad,legitimite,legittimita,lexitimidade,legitimitate
simplicidade,simplicity,sencillez,simplicite,semplicita,sinxeleza,simplitate
profissional,professional,profesional,professionnel,professionale,profesional,profesional
incolumidade,safety,seguridad,securite,sicurezza,seguridade,siguranta
ininterrupto,uninterrupted,ininterrumpido,ininterrompu,ininterrotto,ininterrompido,neintrerupta
sobremaneira,exceedingly,extremadamente,extremement,estremamente,excesivamente,extrem de
beneficencia,beneficence,beneficencia,bienfaisance,beneficenza,beneficencia,binefacere
inescrutavel,inscrutable,inescrutable,impenetrable,imperscrutabile,inescrutable,inscrutabil
reciprocidade,reciprocity,reciprocidad,la reciprocite,reciprocita,reciprocidade,reciprocitate
contemporaneo,contemporary,contemporaneo,contemporain,contemporaneo,contemporaneo,contemporan
inconveniente,inconvenient,inconveniente,incommode,sconveniente,inconveniente,incomod
heterossexual,heterosexual,heterosexual,heterosexuel,eterosessuale,heterosexual,heterosexual
circunstancia,circumstance,circunstancia,circonstance,circostanza,circunstancia,circumstanta
discernimento,discernment,discernimiento,discernement,discernimento,discernimento,discernamant
solidariedade,solidarity,solidaridad,solidarite,solidarieta,solidariedade,solidaritate
promiscuidade,promiscuity,promiscuidad,la promiscuite,promiscuita,promiscuidade,promiscuitate
ressignificar,resignify,resignificar,resignifier,risignificare,resignificar,resemnifica
intransigente,uncompromising,intransigente,intransigeant,intransigente,intransixente,fara compromisuri
credibilidade,credibility,credibilidad,credibilite,credibilita,credibilidade,credibilitate
discriminacao,discrimination,discriminacion,discrimination,discriminazione,discriminacion,discriminare
transcendente,transcendent,trascendente,transcendant,trascendente,transcendente,transcendent
aprovisionado,provisioned,provisionado,provisionne,fornito,aprovisionado,furnizate
epistemologia,epistemology,epistemologia,epistemologie,epistemologia,epistemoloxia,epistemologie
contrapartida,counterpart,contrapartida,homologue,controparte,contrapartida,echivalent
assintomatico,asymptomatic,asintomatico,asymptomatique,asintomatico,asintomatico,asimptomatica
comprobatorio,evidentiary,probatorio,preuve,probatorio,probatoria,probatorie
perpendicular,perpendicular,perpendicular,perpendiculaire,perpendicolare,perpendicular,perpendicular
incongruencia,incongruity,incongruidad,incongruite,incongruenza,incongruencia,incongruenta
reminiscencia,reminiscence,reminiscencia,reminiscence,reminiscenza,reminiscencia,reminiscenta
ressentimento,resentment,resentimiento,ressentiment,risentimento,resentimento,resentiment
estereotipado,stereotyped,esteriotipado,stereotype,stereotipato,estereotipado,stereotipat
possibilidade,possibility,posibilidad,possibilite,possibilita,posibilidade,posibilitate
recenseamento,census,censo,recensement,censimento,censo,recensamant
intermediario,intermediary,intermediario,intermediaire,procacciatore d'affari,intermediario,intermediar
veementemente,strongly,fuertemente,fortement,fortemente,fortemente,puternic
preponderante,preponderant,preponderante,preponderant,preponderante,preponderante,preponderent
indispensavel,indispensable,indispensable,indispensable,indispensabile,indispensable,indispensabil
subjetividade,subjectivity,subjetividad,subjectivite,soggettivita,subxectividade,subiectivitate
singularidade,singularity,singularidad,singularite,singolarita,singularidade,singularitate
hodiernamente,nowadays,hoy en dia,aujourd'hui,al giorno d'oggi,hoxe en dia,in zilele de azi
subserviencia,subservience,subordinacion,asservissement,sottomissione,submision,supunere
longanimidade,longsuffering,longanimidad,longue souffrance,longanime,longa paciencia,indelung rabdator
convalescenca,convalescence,convalecencia,convalescence,convalescenza,convalecencia,convalescenta
pormenorizado,detailed,detallado,detaille,dettagliato,detallado,detaliat
autenticidade,authenticity,autenticidad,authenticite,autenticita,autenticidade,autenticitate
transformacao,transformation,transformacion,transformation,trasformazione,transformacion,transformare
independencia,independence,independencia,independance,indipendenza,independencia,independenta
incontinencia,incontinence,incontinencia,incontinence,incontinenza,incontinencia,incontinenta
instabilidade,instability,inestabilidad,instabilite,instabilita,inestabilidade,instabilitate
superveniente,supervening,sobreviniente,survenant,sopravvenuto,supervindo,supravenind
sensibilidade,sensitivity,sensibilidad,sensibilite,sensibilita,sensibilidade,sensibilitate
introspectivo,introspective,introspectivo,introspectif,introspettivo,introspectivo,introspectiv
reivindicacao,claim,afirmar,reclamer,reclamo,reclamacion,revendicare
elegibilidade,eligibility,elegibilidad,admissibilite,eleggibilita,elegibilidade,eligibilitate
superestimado,overestimated,sobreestimado,surestime,sopravvalutato,sobreestimado,supraestimat
contraditorio,contradictory,contradictorio,contradictoire,contraddittorio,contraditorio,contradictoriu
indissociavel,inseparable,inseparable,inseparable,inseparabile,inseparables,de nedespartit
latifundiario,landowner,terrateniente,proprietaires,proprietario terriero,terratenente,proprietar de teren
multifacetado,multifaceted,multifacetico,multiforme,multiforme,polifacetico,cu mai multe fatete
eventualmente,possibly,posiblemente,peut-etre,possibilmente,posiblemente,eventual
recalcitrante,recalcitrant,recalcitrante,recalcitrant,recalcitrante,recalcitrante,recalcitrant
desmistificar,demystify,desmitificar,demystifier,demistificare,desmitificar,demistifica
incredulidade,unbelief,incredulidad,incredulite,incredulita,incredulidade,necredinta
quintessencia,quintessence,quintaesencia,quintessence,quintessenza,quintaesencia,chintesenta
inconsequente,inconsequential,inconsecuente,sans consequence,irrilevante,intranscendente,neinsemnata
sobressalente,spare,repuesto,de rechange,ricambio,recambio,de rezerva
ininteligivel,unintelligible,ininteligible,inintelligible,incomprensibile,inintelixible,neinteligibil
inescrupuloso,unscrupulous,poco escrupuloso,sans scrupules,senza scrupoli,sen escrupulos,lipsit de scrupule
comportamento,behavior,comportamiento,comportement,comportamento,comportamento,comportament
personalidade,personality,personalidad,personnalite,personalita,personalidade,personalitate
indescritivel,indescribable,indescriptible,indescriptible,indescrivibile,indescriptible,de nedescris
integralmente,fully,completamente,pleinement,completamente,plenamente,complet
implementacao,implementation,implementacion,mise en oeuvre,implementazione,implementacion,implementare
monossilabico,monosyllabic,monosilabico,monosyllabique,monosillabico,monosilabo,monosilabic
homogeneidade,homogeneity,homogeneidad,homogeneite,omogeneita,homoxeneidade,omogenitate
magnificencia,magnificence,magnificencia,magnificence,magnificenza,magnificencia,maretie
provavelmente,probably,probablemente,probablement,probabilmente,probablemente,probabil
precipuamente,precipitously,precipitadamente,precipitamment,precipitosamente,precipitadamente,precipitat
peculiaridade,peculiarity,peculiaridad,particularite,peculiarita,peculiaridade,particularitate
circunscricao,circumscription,circunscripcion,circonscription,circoscrizione,circunscricion,circumscriptie
consentimento,consent,consentir,consentement,consenso,consentimento,consimtamant
incondicional,unconditional,incondicional,inconditionnel,incondizionato,incondicional,neconditionat
convalescente,convalescent,convaleciente,convalescent,convalescente,convalecente,convalescent
remanejamento,relocation,reubicacion,demenagement,trasferimento,traslado,relocare
contentamento,contentment,contentamiento,contentement,contentezza,contento,multumire
serendipidade,serendipity,casualidad,hasard,serendipita,serendipia,noroc
consciencioso,conscientious,concienzudo,consciencieux,coscienzioso,concienzudo,constiincios
correlacionar,correlate,correlacion,correlatif,correlare,correlacionar,corela
arrefecimento,cooling,enfriamiento,refroidissement,raffreddamento,arrefriamento,racire
incandescente,incandescent,incandescente,incandescent,incandescente,incandescente,incandescent
predisposicao,predisposition,predisposicion,predisposition,predisposizione,predisposicion,predispozitie
versatilidade,versatility,versatilidad,polyvalence,versatilita,versatilidade,versatilitate
conscientizar,aware,consciente,conscient,consapevole,consciente,constient
desnecessario,unnecessary,innecesario,inutile,non necessario,innecesario,inutil
irresponsavel,responsible,responsable,responsable,responsabile,responsable,responsabil
supersticioso,superstitious,supersticioso,superstitieux,superstizioso,supersticioso,superstitios
indeterminado,indeterminate,indeterminado,indetermine,indeterminato,indeterminado,nedeterminat
imperceptivel,imperceptible,imperceptible,imperceptible,impercettibile,imperceptible,imperceptibil
representacao,representation,representacion,representation,rappresentazione,representacion,reprezentare
especificacao,specification,especificacion,specification,specifica,especificacion,specificatie
identificacao,identification,identificacion,identification,identificazione,identificacion,identificare
reconciliacao,reconciliation,reconciliacion,reconciliation,riconciliazione,reconciliacion,reconciliere
incognoscivel,unknowable,desconocido,inconnaissable,inconoscibile,incognoscible,de necunoscut
ressarcimento,refund,reembolso,remboursement,rimborso,reembolso,restituire
receptividade,receptivity,receptividad,receptivite,ricettivita,receptividade,receptivitate
monocromatico,monochrome,monocromo,monochrome,monocromo,monocromo,monocrom
imprescindivel,essential,basico,essentiel,essenziale,esencial,esential
condescendente,condescending,condescendiente,condescendant,condiscendente,condescendente,condescendent
idiossincrasia,idiosyncrasy,idiosincrasia,particularite,idiosincrasia,idiosincrasia,idiosincrasie
caracteristica,feature,caracteristica,fonctionnalite,caratteristica,caracteristica,caracteristica
concupiscencia,lust,lujuria,luxure,lussuria,luxuria,pofta
extraordinario,extraordinary,extraordinario,extraordinaire,straordinario,extraordinario,extraordinar
demasiadamente,too much,demasiado,trop,troppo,demasiado,prea mult
intercorrencia,intercurrence,intercurrencia,intercurrence,intercorrenza,intercorrencia,intercurente
irrepreensivel,irreproachable,irreprochable,irreprochable,irreprensibile,irreprochable,ireprosabil
consubstanciar,substantiate,justificar,justifier,sostanziare,fundamentar,fundamenta
pronta-entrega,ready-delivery,entrega rapida,pret a etre livre,pronta consegna,listo para entrega,gata de livrare
incomensuravel,immeasurable,inconmensurable,incommensurable,incommensurabile,inconmensurable,nemasurata
discricionario,discretionary,discrecional,discretionnaire,discrezionale,discrecional,discretionara
preponderancia,preponderance,preponderancia,preponderance,preponderanza,preponderancia,preponderenta
arbitrariedade,arbitrariness,arbitrariedad,arbitraire,arbitrarieta,arbitrariedade,arbitrariul
especificidade,specificity,especificidad,specificite,specificita,especificidade,specificitate
posteriormente,posteriorly,posteriormente,posterieurement,posteriormente,posteriormente,posterior
imprescritivel,imprescriptible,imprescriptible,imprescriptible,imprescrittibile,imprescriptible,imprescriptibil
intransponivel,insurmountable,insuperable,insurmontable,insormontabile,insalvable,de netrecut
contextualizar,contextualize,contextualizar,contextualiser,contestualizzare,contextualizar,contextualizati
empreendimento,enterprise,empresa,entreprise,impresa,empresa,afacere
ancestralidade,ancestry,ascendencia,ascendance,ascendenza,ascendencia,origine
entretenimento,entertainment,entretenimiento,divertissement,divertimento,entretemento,divertisment
transcendental,transcendental,trascendental,transcendantal,trascendentale,transcendental,transcendental
paulatinamente,gradually,gradualmente,progressivement,gradualmente,aos poucos,treptat
infraestrutura,infrastructure,infraestructura,infrastructure,infrastruttura,infraestrutura,infrastructura
relacionamento,relationship,relacion,relation,relazione,relacion,relatie
arrependimento,repentance,arrepentimiento,repentir,pentimento,arrepentimento,pocainta
revolucionario,revolutionary,revolucionario,revolutionnaire,rivoluzionario,revolucionario,revolutionar
imparcialidade,impartiality,imparcialidad,impartialite,imparzialita,imparcialidade,impartialitate
superveniencia,supervenience,superveniencia,survenance,sopravvenienza,superveniencia,supravenienta
bem-aventurado,blessed,bienaventurado,beni,benedetto,bendito,binecuvantat
atenciosamente,yours sincerely,tuyo sinceramente,cordialement,cordiali saluti,saudos,cu stima
transcendencia,transcendence,trascendencia,transcendance,trascendenza,transcendencia,transcendenta
periodicamente,periodically,periodicamente,periodiquement,periodicamente,periodicamente,periodic
reconhecimento,recognition,reconocimiento,reconnaissance,riconoscimento,reconecemento,recunoastere
democratizacao,democratization,democratizacion,democratisation,democratizzazione,democratizacion,democratizare
insignificante,insignificant,insignificante,insignifiant,insignificante,insignificante,nesemnificativ
diligentemente,diligently,diligentemente,avec diligence,diligentemente,con dilixencia,cu sarguinta
inconsistencia,inconsistency,inconsecuencia,incoherence,incoerenza,incoherencia,inconsecventa
personificacao,personification,personificacion,personnification,personificazione,personificacion,personificare
despretensioso,unpretentious,no pretencioso,sans pretention,senza pretese,sen pretensions,modest
impessoalidade,impersonality,impersonalidad,impersonnalite,impersonalita,impersonalidade,impersonalitate
socioambiental,socio-environmental,socioambiental,socio-environnemental,socio-ambientale,socioambientais,socio-mediu
espontaneidade,spontaneity,espontaneidad,spontaneite,spontaneita,espontaneidade,spontaneitate
funcionalidade,functionality,funcionalidad,fonctionnalite,funzionalita,funcionalidade,functionalitate
intransigencia,intransigence,intransigencia,intransigeance,intransigenza,intransixencia,intransigenta
aplicabilidade,applicability,aplicabilidad,applicabilite,applicabilita,aplicabilidade,aplicabilitate
desprendimento,detachment,desapego,detachement,distacco,desprendemento,detasare
procrastinacao,procrastination,dilacion,procrastination,indugio,procrastinacion,procrastinare
potencialidade,potentiality,potencialidad,potentialite,potenzialita,potencialidade,potentialitate
principalmente,mainly,principalmente,principalement,principalmente,principalmente,in principal
procrastinador,procrastinator,indeciso,procrastinateur,procrastinatore,procrastinador,procrastinator
estelionatario,embezzler,desfalcador,detourneur de fonds,malversatore,malversador,delapidator
estratificacao,stratification,estratificacion,stratification,stratificazione,estratificacion,stratificare
licenciosidade,licentiousness,libertinaje,licence,licenziosita,libertinaxe,imoralitate
prestatividade,helpfulness,utilidad,obligeance,disponibilita,axuda,utilitate
extraordinaria,extraordinary,extraordinario,extraordinaire,straordinario,extraordinario,extraordinar
excentricidade,eccentricity,excentricidad,excentricite,eccentricita,excentricidade,excentricitate
inconveniencia,inconvenience,inconveniencia,desagrement,inconveniente,inconveniente,incomoda
dissolutamente,dissolutely,en disolucion,dissoluement,dissoluto,disolutamente,disolut
congratulacoes,congratulations,felicidades,toutes nos felicitations,congratulazioni,parabens,felicitari
pusilanimidade,pusillanimity,pusilanimidad,pusillanimite,pusillanimita,pusilanimidade,frica
exequibilidade,feasibility,factibilidad,faisabilite,fattibilita,viabilidade,fezabilitate
epistemologico,epistemological,epistemologico,epistemologique,epistemologico,epistemoloxico,epistemologica
insubstituivel,irreplaceable,insustituible,irremplacable,insostituibile,insubstituible,de neinlocuit
individualismo,individualism,individualismo,individualisme,individualismo,individualismo,individualism
biodiversidade,biodiversity,biodiversidad,biodiversite,biodiversita,biodiversidade,biodiversitate
resplandecente,resplendent,resplandeciente,resplendissant,splendente,resplandeciente,splendid
jurisprudencia,jurisprudence,jurisprudencia,jurisprudence,giurisprudenza,xurisprudencia,jurisprudenta
abundantemente,abundantly,abundantemente,abondamment,abbondantemente,abundantemente,abundent
coercitividade,coercion,coercion,coercition,coercizione,coaccion,constrangere
disponibilizar,to make available,hacer disponible,mettre a disposition,mettere a disposizione,para poner a disposicion,a pune la dispozitie
plausibilidade,plausibility,plausibilidad,plausibilite,plausibilita,verosimilitude,plauzibilitatea
acessibilidade,accessibility,accesibilidad,accessibilite,accessibilita,accesibilidade,accesibilitate
internalizacao,internalization,internalizacion,internalisation,interiorizzazione,interiorizacion,internalizare
credenciamento,accreditation,acreditacion,accreditation,accreditamento,acreditacion,acreditare
papibaquigrafo,papibaquigrapher,papibaquigrafo,papibaquigraphe,papibaquigrafo,papibaquigrafo,papibaquigrapher
constantemente,constantly,constantemente,en permanence,costantemente,constantemente,in mod constant
exclusivamente,exclusively,exclusivamente,exclusivement,esclusivamente,exclusivamente,exclusiv
multiplicidade,multiplicity,multiplicidad,multiplicite,molteplicita,multiplicidade,multiplicitate
perfeccionista,perfectionist,perfeccionista,perfectionniste,perfezionista,perfeccionista,perfectionist
aleatoriamente,randomly,aleatoriamente,au hasard,a caso,aleatoriamente,la intamplare
impressionante,impressive,impresionante,impressionnant,degno di nota,impresionante,impresionant
questionamento,questioning,interrogatorio,interrogatoire,interrogatorio,cuestionando,chestionare
implicitamente,implicitly,implicitamente,implicitement,implicitamente,implicitamente,implicit
esclarecimento,clarification,aclaracion,clarification,una precisazione,aclaracion,clarificare
grandiloquente,grandiloquent,grandilocuente,grandiloquent,magniloquente,grandilocuente,grandilocvent
minuciosamente,thoroughly,minuciosamente,soigneusement,completamente,a fondo,temeinic
permissividade,permissiveness,permisividad,permissivite,permissivita,permisividade,permisivitatea
frequentemente,often,a menudo,souvent,spesso,moitas veces,de multe ori
indiscriminado,indiscriminate,indistinto,aveugle,indiscriminato,indiscriminado,nediscriminatoriu
intermunicipal,intercity,interurbano,interurbain,interurbano,interurbano,intercity
concessionaria,concessionaire,concesionario,concessionnaire,concessionario,concesionaria,concesionar
sobrecarregado,overloaded,sobrecargado,surcharge,sovraccarico,sobrecargado,supraincarcat
transfiguracao,transfiguration,transfiguracion,transfiguration,trasfigurazione,transfiguracion,transfigurare
